Date,Publish,Best,Headline,URL,Image,Video,Skills,Case_study,Related_Links,Awards
7/28/2023,TRUE,FALSE,"10 years, 10 couples",https://www2.startribune.com/10-years-same-sex-marriage-minnesota/600292634/,,,"Design, Development, Editing","On Aug. 1, 2013, when the state’s marriage law became gender-neutral, gay, lesbian and nonbinary couples entered into an institution they’d long been denied, claiming its rights and complications. We looked back at 10 years of same-sex marriage in Minnesota by having conversations with 10 couples, nine of whom married — and in one case, divorced — over the decade. ",,
6/21/2023,FALSE,FALSE,What surprise songs will Taylor Swift perform in Minneapolis?,https://www.startribune.com/surprise-songs-will-taylor-swift-play-in-minneapolis-we-try-to-take-an-educated-guess/600281246/,,,"Design, Development",,,
5/3/2023,TRUE,FALSE,What happened to Heather Mayer?,https://www2.startribune.com/heather-mayer-death-bdsm-mother-find-justice-twin-cities/600273507/,,,"Design, Development, Editing","Police ruled Heather Mayer’s death a suicide. Her mother set out to prove them wrong and uncovered an escalating tale of violence. Nearly four years later, the circumstances of Heather’s death remain a mystery. This story was reported for years before it published. As a designer we had to balance a careful line between showing the true nature of the abuse and not retraumatizing or being gratuitous. We made careful design choices to give readers control over their experience in the story.",,
6/24/2022,TRUE,FALSE,Life before Roe v. Wade,https://www2.startribune.com/current-former-minnesotans-remember-life-before-roe-v-wade-abortion-supreme-court/600181095/?refresh=true,beforeroe,,"Design, Development, Editing","Less than 50 years ago, abortion was illegal in most states. Some Minnesotans remember it well. Anticipating that Roe v. Wade would be in front of the Supreme Court again, reporters asked for stories from people who were alive before Roe. We created this sparsely-designed story, told through vingettes, to allow their memories to shine. Due to the pre-planning, this feature was able to publish with our live news coverage when Roe was reversed.",,
8/7/2021,FALSE,FALSE,How Twin Cities housing rules keep the metro segregated,https://www2.startribune.com/how-twin-cities-housing-rules-keep-the-metro-segregated/600081529/,zoning,,"Design, Development","To examine residential zoning patterns in the Twin Cities, the Star Tribune requested zoning maps from more than 100 communities and reporters reviewed zoning ordinances from each city. The results found that people of color were disproportionately living in multi-family housing due to the racist history of zoning laws.",,
4/14/2021,TRUE,FALSE,Breaking down the video: What happened during Daunte Wright's fatal traffic stop,https://www2.startribune.com/daunte-wright-brooklyn-center-minnesota-kim-potter-police-shooting-bodycam-taser-handgun/600021041/,,,"Reporting, Writing, Design, Development","An analysis of the body camera footage with insights from the Brooklyn Center Police policy manual and a comparison of guns and tasers. This story took four days, from initial pitch to publish.",,
12/27/2020,FALSE,FALSE,George Floyd's search for salvation,https://www.startribune.com/george-floyd-hoped-moving-to-minnesota-would-save-him-what-he-faced-here-killed-him/573417181/,,,"Design, Development",,,
8/11/2020,TRUE,FALSE,"The siege, evacuation and destruction of a Minneapolis police station",https://www2.startribune.com/e-mails-public-records-reveal-what-happened-before-minneapolis-third-precinct-was-abandoned/566290701/,,,"Design, Development, Editing, Graphics",,,
6/2/2020,TRUE,TRUE,One Week in Minneapolis,https://www2.startribune.com/one-week-that-shook-the-world-george-floyd-s-death-ignited-protests-far-beyond-minneapolis/569930771/,oneweek,,"Design, Development, Editing, Writing","I was furloughed the Thursday and Friday of Memorial Day weekend — like so many others, I spent the week refreshing Twitter, seeking constant information as the city reeled after the murder of George Floyd. I pitched this project to my bosses that Friday, and worked over the weekend to collect the best of our Star Tribune coverage and compile it into a visual timeline of the week in Minneapolis that changed the world.",,
12/27/2019,FALSE,FALSE,Best of the Decade,http://www.startribune.com/best-of-the-decade/566133041/,,,"Design, Development",,,
7/23/2018,TRUE,FALSE,Denied Justice,startribune.com/deniedjustice,,,"Design, Development, Graphics","Denied Justice was an investigation into the police handlings of sex assault cases in Minnesota. The Star Tribune team built their own data base by requesting records from all across the state, and came to a sobering conclusion that only 7% of reported sexual assaults ended in coviction — the majority were never even forwarded to prosecutors. This was a huge undertaking, and in the end resulted in 9 stories, a video database, a landing page, and a sister podcast produced with a local television station.",,
